id,web_format,resolution,bitrate,codec,fps
249,webm,audio,63k,opus@50k,
250,webm,audio,81k,opus@70k,
171,webm,audio,117k,vorbis@128k,
140,m4a,audio,127k,m4a_dashcontainer,
251,webm,audio,151k,opus@160k,
278,webm,256x144,99k,webmcontainer,vp9
160,mp4,256x144,114k,avc1.4d400c,24fps
242,webm,426x240,233k,vp9,24fps
133,mp4,426x240,251k,avc1.4d4015,24fps
243,webm,640x360,418k,vp9,24fps
134,mp4,640x360,646k,avc1.4d401e,24fps
244,webm,854x480,774k,vp9,24fps
135,mp4,854x480,1183k,avc1.4d401e,24fps
247,webm,1280x720,1525k,vp9,24fps
136,mp4,1280x720,2375k,avc1.4d401f,24fps
248,webm,1920x1080,2693k,vp9,24fps
137,mp4,1920x1080,4411k,avc1.640028,24fps
