id,web_format,resolution,bitrate,codec,fps
249,webm,audio,49k,opus@50k,
250,webm,audio,65k,opus@70k,
171,webm,audio,127k,vorbis@128k,
140,m4a,audio,127k,m4a_dashcontainer,
251,webm,audio,130k,opus@160k,
278,webm,256x144,111k,vp9,30fps
160,mp4,256x144,111k,avc1.4d400c,30fps
133,mp4,426x240,248k,avc1.4d4015,30fps
242,webm,426x240,256k,vp9,30fps
243,webm,640x360,452k,vp9,30fps
134,mp4,640x360,635k,avc1.4d401e,30fps
244,webm,854x480,852k,vp9,30fps
135,mp4,854x480,1163k,avc1.4d401f,30fps
247,webm,1280x720,1685k,vp9,30fps
136,mp4,1280x720,2323k,avc1.4d401f,30fps
248,webm,1920x1080,3034k,vp9,30fps
137,mp4,1920x1080,4126k,avc1.640028,30fps
