id,web_format,resolution,bitrate,codec,fps
249,webm,audio,52k,opus@50k,
250,webm,audio,68k,opus@70k,
171,webm,audio,120k,vorbis@128k,
140,m4a,audio,128k,m4a_dashcontainer,
251,webm,audio,134k,opus@160k,
160,mp4,256x144,111k,avc1.4d400c,24fps
278,webm,256x144,128k,vp9,24fps
133,mp4,426x240,247k,avc1.4d4015,24fps
242,webm,426x240,292k,vp9,24fps
243,webm,640x360,539k,vp9,24fps
134,mp4,640x360,635k,avc1.4d401e,24fps
244,webm,854x480,950k,vp9,24fps
135,mp4,854x480,1163k,avc1.4d401e,24fps
247,webm,1280x720,1987k,vp9,24fps
136,mp4,1280x720,2320k,avc1.4d401f,24fps
248,webm,1920x1080,3586k,vp9,24fps
137,mp4,1920x1080,4327k,avc1.640028,24fps
