id,web_format,resolution,bitrate,codec,fps
249,webm,audio,57k,opus@50k,
250,webm,audio,81k,opus@70k,
140,m4a,audio,127k,m4a_dashcontainer,
171,webm,audio,138k,vorbis@128k,
251,webm,audio,159k,opus@160k,
278,webm,256x144,107k,vp9,30fps
160,mp4,256x144,129k,avc1.4d400c,30fps
242,webm,426x240,237k,vp9,30fps
133,mp4,426x240,278k,avc1.4d4015,30fps
243,webm,640x360,438k,vp9,30fps
134,mp4,640x360,645k,avc1.4d401e,30fps
244,webm,854x480,806k,vp9,30fps
135,mp4,854x480,1178k,avc1.4d401f,30fps
247,webm,1280x720,1608k,vp9,30fps
136,mp4,1280x720,2355k,avc1.4d401f,30fps
248,webm,1920x1080,2878k,vp9,30fps
137,mp4,1920x1080,4360k,avc1.640028,30fps
