id,web_format,resolution,bitrate,codec,fps
249,webm,audio,82k,opus@50k,
250,webm,audio,104k,opus@70k,
171,webm,audio,121k,vorbis@128k,
140,m4a,audio,127k,m4a_dashcontainer,
251,webm,audio,195k,opus@160k,
278,webm,256x108,94k,webmcontainer,vp9
160,mp4,256x108,111k,avc1.4d400b,24fps
242,webm,426x182,171k,vp9,24fps
243,webm,640x272,301k,vp9,24fps
133,mp4,426x182,343k,avc1.4d400d,24fps
244,webm,854x362,545k,vp9,24fps
134,mp4,640x272,663k,avc1.4d4015,24fps
247,webm,1280x544,1095k,vp9,24fps
135,mp4,854x362,1208k,avc1.4d401e,24fps
248,webm,1920x816,1890k,vp9,24fps
136,mp4,1280x544,2066k,avc1.4d401f,24fps
137,mp4,1920x816,2858k,avc1.640028,24fps
